PROD TYPE,NAME,SHIPPED_DATE,Total Orders,Total Pallets,Distance,Cost
AMBCONTROL,GR & MM BLACKLEDGE PLC,01-01-2024,2,2,134.5,102.8
AMBCONTROL,HOLLAND & BARRATT RETAIL LTD,01-01-2024,1,1,51,31.2
AMBCONTROL,ALDI SHEPPEY,01-01-2024,1,1,313.6,71.8
AMBCONTROL,ALLIANCE HEALTHCARE (PRESTON),01-01-2024,1,1,142.1,51.4
AMBCONTROL,SAINSBURYS SUPERMARKET LTD,01-01-2024,1,16,73.6,343.9
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,01-01-2024,1,12,222.9,505.5
AMBCONTROL,ALLOGA UK,02-01-2024,4,25,12.2,436.8
AMBCONTROL,ALLOGA UK LTD - AP 3,02-01-2024,2,7,1.6,135.7
AMBIENT,B & M RETAIL LTD,02-01-2024,1,1,160.1,43.5
AMBCONTROL,INSPIRA TRADING LIMITED,02-01-2024,1,2,182.1,91.2
AMBCONTROL,OCADO BICESTER,02-01-2024,1,1,171.8,51.2
AMBCONTROL,AMAZON FRESH MILTON KEYNES ALT,02-01-2024,1,1,159,47.6
AMBCONTROL,SCOTTISH MIDLAND CO-OPERATIVE,02-01-2024,1,1,429.4,93.2
AMBCONTROL,B & M RETAIL LTD,02-01-2024,1,1,160.1,47.6
AMBCONTROL,ALDI STORES LTD,02-01-2024,1,1,77.4,40.9
AMBCONTROL,AAH PHARMA (ROMFORD PPP0997Q),02-01-2024,1,1,252.9,63
AMBCONTROL,SUPERDRUG STORES PLC WEBSITE,02-01-2024,1,5,74.3,119.7
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,02-01-2024,1,11,239.5,527.2
AMBCONTROL,ALDI STORES LTD (BOLTON),02-01-2024,1,1,117.8,46.4
AMBCONTROL,OCADO LTD (CFC ERITH),02-01-2024,1,1,268.2,66.1
AMBCONTROL,OCADO LTD (CFC ANDOVER),02-01-2024,1,1,267,70.6
AMBCONTROL,ALLIANCE HEALTHCARE (DISTRIBUT,02-01-2024,1,2,262.2,110.8
AMBCONTROL,ASDA,02-01-2024,2,11,93.7,236.2
AMBIENT,ASDA,02-01-2024,1,4,93.7,82.3
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),02-01-2024,1,28,107.4,628.1
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,02-01-2024,1,1,208.6,52.7
AMBCONTROL,AAH PHARMA (RUISLIP),02-01-2024,1,1,232.1,55.7
AMBCONTROL,FAO WENDY LEWIS,02-01-2024,1,1,130.9,51.2
AMBCONTROL,ALLIANCE HEALTHCARE (NEWCASTLE,02-01-2024,1,3,268.8,159.9
AMBCONTROL,SAVERS HEALTH & BEAUTY - DUNST,03-01-2024,3,20,185.1,750.1
AMBIENT,SAVERS HEALTH & BEAUTY - DUNST,03-01-2024,1,5,185.1,167.3
AMBIENT,AMAZON DEESIDE XLP1,03-01-2024,1,1,144.3,46.5
AMBIENT,B & M RETAIL LTD,03-01-2024,3,9,140.6,312.6
AMBCONTROL,B & M RETAIL LTD,03-01-2024,1,2,160.1,79.1
AMBCONTROL,TESCO (BOLTON 510),03-01-2024,1,2,117.8,76.6
AMBCONTROL,SUPERDRUG STORES PLC (DUNSTABL,03-01-2024,1,3,185.1,121.3
AMBCONTROL,ALLIANCE HEALTHCARE (COATBRIDG,03-01-2024,1,1,444.3,93.1
AMBCONTROL,BARCLAY PHARMACEUTICALS LTD,03-01-2024,1,1,78.9,36.6
AMBCONTROL,AAH PHARMA (GLASGOW),03-01-2024,1,1,451.8,98.2
AMBCONTROL,BESTWAY PHARMACY NDC LTD,03-01-2024,1,1,69.1,36.6
AMBCONTROL,ALLOGA UK,03-01-2024,1,18,12.2,283.5
AMBIENT,BOOTS COMPANY PLC (SSC),03-01-2024,8,11,29.8,276.5
AMBCONTROL,BOOTS COMPANY PLC (SSC),03-01-2024,4,6,29.8,155.2
AMBIENT,WM MORRISONS SUPERMARKET LIMIT,03-01-2024,1,1,133.2,40.7
AMBCONTROL,PURFLEET CFC OCADO,03-01-2024,1,1,266.3,63
AMBCONTROL,ALLIANCE HEALTHCARE (SWANSEA),03-01-2024,1,1,303.4,84
AMBCONTROL,ALLIANCE HEALTHCARE (LETCHWORT,03-01-2024,1,1,188,53.6
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,03-01-2024,1,20,239.5,944.9
